9.2545 	INFO 	---START PARAMETERS---
9.2545 	INFO 	filename: TappingWithTrTiming_Movie_d3.py-1-8-Dec_08_1726
9.2545 	INFO 	subject: 1
9.2546 	INFO 	session: 8
9.2546 	INFO 	date: Dec_08_1726
9.2546 	INFO 	blockDur_TRs: 20
9.2546 	INFO 	condition: TapLeft
9.2546 	INFO 	fixCrossPos: [0, 0]
9.2546 	INFO 	fixCrossSize: 100
9.2546 	INFO 	fullScreen: True
9.2546 	INFO 	movieFolder: Images/
9.2546 	INFO 	movieSize: (800, 500)
9.2546 	INFO 	nBlocks: 48
9.2546 	INFO 	promptDir: Text/
9.2546 	INFO 	restDur_TRs: 20
9.2546 	INFO 	screenColor: (128, 128, 128)
9.2546 	INFO 	screenToShow: 1
9.2546 	INFO 	skipPrompts: False
9.2546 	INFO 	tStartup_TRs: 0
9.2546 	INFO 	textHeight: 40
9.2546 	INFO 	triggerKey: t
9.2546 	INFO 	---END PARAMETERS---
9.3020 	WARNING 	Movie2 stim could not be imported and won't be available
9.7628 	INFO 	Loaded monitor calibration from ['2015_12_02 12:18']
10.1988 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 128.,  128.,  128.]), colorSpace='rgb255', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xfbd96e8>, name='win', pos=[0, 0], screen=1, size=array([800, 600]), stereo=False, units='deg', useFBO=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.2006 	EXP 	Created fixCross = ShapeStim(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='#000000', lineColorSpace='hex', lineRGB=array([0, 0, 0]), lineWidth=3.0, name='fixCross', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
10.2449 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([ 0. ,  0.5]), rgb=array([0, 0, 0]), text=u'aaa', units='norm', win=Window(...), wrapWidth=1.5)
10.2482 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([ 0. , -0.5]), rgb=array([0, 0, 0]), text=u'bbb', units='norm', win=Window(...), wrapWidth=1.5)
10.2769 	EXP 	Created Movie Frame 0 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_0.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 0', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.3025 	EXP 	Created Movie Frame 1 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_1.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 1', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.3293 	EXP 	Created Movie Frame 2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_2.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.3572 	EXP 	Created Movie Frame 3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_3.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 3', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.3825 	EXP 	Created Movie Frame 4 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_4.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 4', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.4073 	EXP 	Created Movie Frame 5 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_5.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 5', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.4330 	EXP 	Created Movie Frame 6 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_6.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 6', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.4564 	EXP 	Created Movie Frame 7 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_7.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 7', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.4802 	EXP 	Created Movie Frame 8 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_8.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 8', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.5066 	EXP 	Created Movie Frame 9 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/left_9.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 9', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 800.,  500.]), texRes=128, units='pix', win=Window(...))
10.5202 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=40, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([   0.,  330.]), rgb=array([0, 0, 0]), text=u'Tap along with the video.', units='pix', win=Window(...), wrapWidth=800)
10.5940 	EXP 	topMsg: text = 'You will see a movie of a finger tapping. When it is on the screen, try to use the hand indicated to tap your fingers at the same times as the movie does. When the fixation cross appears, relax and stare at the cross.'
10.5940 	EXP 	bottomMsg: text = 'The experiment will begin shortly'
10.5940 	EXP 	Display Instructions1
52.0443 	DATA 	Keypress: t
52.0558 	EXP 	topMsg: text = "Please don't move..."
52.0558 	EXP 	bottomMsg: text = ''
52.0558 	EXP 	PleaseDontMove
76.0624 	DATA 	Keypress: t
76.0664 	EXP 	Display Fixation
76.0667 	EXP 	---START EXPERIMENT---
76.0771 	EXP 	Display Fixation
78.3144 	DATA 	Keypress: t
80.5807 	DATA 	Keypress: t
82.8668 	DATA 	Keypress: t
85.1217 	DATA 	Keypress: t
87.4184 	DATA 	Keypress: t
89.6676 	DATA 	Keypress: t
91.9344 	DATA 	Keypress: t
94.2157 	DATA 	Keypress: t
96.4753 	DATA 	Keypress: t
98.7638 	DATA 	Keypress: t
101.0172 	DATA 	Keypress: t
103.3154 	DATA 	Keypress: t
105.5662 	DATA 	Keypress: t
107.8291 	DATA 	Keypress: t
110.1196 	DATA 	Keypress: t
112.3710 	DATA 	Keypress: t
114.6710 	DATA 	Keypress: t
116.9210 	DATA 	Keypress: t
119.1837 	DATA 	Keypress: t
121.4708 	DATA 	Keypress: t
121.5190 	EXP 	Display Frame 1
121.5520 	EXP 	Display Frame 2
121.5851 	EXP 	Display Frame 3
121.6190 	EXP 	Display Frame 4
121.6544 	EXP 	Display Frame 5
121.6848 	EXP 	Display Frame 6
121.7184 	EXP 	Display Frame 7
121.7510 	EXP 	Display Frame 8
121.7834 	EXP 	Display Frame 9
121.8172 	EXP 	Display Frame 0
121.8508 	EXP 	Display Frame 1
121.8838 	EXP 	Display Frame 2
121.9170 	EXP 	Display Frame 3
121.9498 	EXP 	Display Frame 4
121.9825 	EXP 	Display Frame 5
122.0165 	EXP 	Display Frame 6
122.0496 	EXP 	Display Frame 7
122.0828 	EXP 	Display Frame 8
122.1150 	EXP 	Display Frame 9
122.1491 	EXP 	Display Frame 0
122.1822 	EXP 	Display Frame 1
122.2148 	EXP 	Display Frame 2
122.2485 	EXP 	Display Frame 3
122.2815 	EXP 	Display Frame 4
122.3141 	EXP 	Display Frame 5
122.3474 	EXP 	Display Frame 6
122.3805 	EXP 	Display Frame 7
122.4146 	EXP 	Display Frame 8
122.4474 	EXP 	Display Frame 9
122.4810 	EXP 	Display Frame 0
122.5128 	EXP 	Display Frame 1
122.5458 	EXP 	Display Frame 2
122.5794 	EXP 	Display Frame 3
122.6130 	EXP 	Display Frame 4
122.6463 	EXP 	Display Frame 5
122.6795 	EXP 	Display Frame 6
122.7123 	EXP 	Display Frame 7
122.7452 	EXP 	Display Frame 8
122.7791 	EXP 	Display Frame 9
122.8121 	EXP 	Display Frame 0
122.8443 	EXP 	Display Frame 1
122.8786 	EXP 	Display Frame 2
122.9110 	EXP 	Display Frame 3
122.9448 	EXP 	Display Frame 4
122.9781 	EXP 	Display Frame 5
123.0109 	EXP 	Display Frame 6
123.0441 	EXP 	Display Frame 7
123.0769 	EXP 	Display Frame 8
123.1101 	EXP 	Display Frame 9
123.1435 	EXP 	Display Frame 0
123.1768 	EXP 	Display Frame 1
123.2090 	EXP 	Display Frame 2
123.2422 	EXP 	Display Frame 3
123.2757 	EXP 	Display Frame 4
123.3092 	EXP 	Display Frame 5
123.3426 	EXP 	Display Frame 6
123.3758 	EXP 	Display Frame 7
123.4091 	EXP 	Display Frame 8
123.4413 	EXP 	Display Frame 9
123.4744 	EXP 	Display Frame 0
123.5078 	EXP 	Display Frame 1
123.5412 	EXP 	Display Frame 2
123.5744 	EXP 	Display Frame 3
123.6080 	EXP 	Display Frame 4
123.6410 	EXP 	Display Frame 5
123.6883 	EXP 	Display Frame 6
123.7223 	EXP 	Display Frame 7
123.7380 	DATA 	Keypress: t
123.7559 	EXP 	Display Frame 8
123.7892 	EXP 	Display Frame 9
123.8217 	EXP 	Display Frame 0
123.8556 	EXP 	Display Frame 1
123.8889 	EXP 	Display Frame 2
123.9224 	EXP 	Display Frame 3
123.9558 	EXP 	Display Frame 4
123.9884 	EXP 	Display Frame 5
124.0211 	EXP 	Display Frame 6
124.0555 	EXP 	Display Frame 7
124.0876 	EXP 	Display Frame 8
124.1211 	EXP 	Display Frame 9
124.1545 	EXP 	Display Frame 0
124.1876 	EXP 	Display Frame 1
124.2206 	EXP 	Display Frame 2
124.2543 	EXP 	Display Frame 3
124.2875 	EXP 	Display Frame 4
124.3198 	EXP 	Display Frame 5
124.3536 	EXP 	Display Frame 6
124.3865 	EXP 	Display Frame 7
124.4202 	EXP 	Display Frame 8
124.4526 	EXP 	Display Frame 9
124.4857 	EXP 	Display Frame 0
124.5189 	EXP 	Display Frame 1
124.5524 	EXP 	Display Frame 2
124.5863 	EXP 	Display Frame 3
124.6184 	EXP 	Display Frame 4
124.6517 	EXP 	Display Frame 5
124.6849 	EXP 	Display Frame 6
124.7177 	EXP 	Display Frame 7
124.7516 	EXP 	Display Frame 8
