0.3020 	WARNING 	Movie2 stim could not be imported and won't be available
0.0106 	DATA 	INITIAL INSTRUCTIONS
119.8182 	DATA 	Keypress: t
119.8262 	WARNING 	t of last frame was 119815.57ms (=1/0)
122.1084 	DATA 	Keypress: t
2.2497 	DATA 	Keypress: t
2.2598 	WARNING 	t of last frame was 2254.15ms (=1/0)
3.1000 	DATA 	Keypress: t
3.1050 	WARNING 	t of last frame was 845.27ms (=1/1)
4.5160 	DATA 	Keypress: t
4.5255 	WARNING 	t of last frame was 1420.50ms (=1/0)
6.7996 	DATA 	Keypress: t
6.8110 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
9.0580 	DATA 	Keypress: t
11.3495 	DATA 	Keypress: t
13.5994 	DATA 	Keypress: t
15.8994 	DATA 	Keypress: t
18.1493 	DATA 	Keypress: t
20.4116 	DATA 	Keypress: t
22.6995 	DATA 	Keypress: t
24.9524 	DATA 	Keypress: t
27.2491 	DATA 	Keypress: t
29.4990 	DATA 	Keypress: t
31.7652 	DATA 	Keypress: t
34.0488 	DATA 	Keypress: t
36.3071 	DATA 	Keypress: t
38.5988 	DATA 	Keypress: t
40.8487 	DATA 	Keypress: t
43.1488 	DATA 	Keypress: t
45.3987 	DATA 	Keypress: t
47.6609 	DATA 	Keypress: t
49.9485 	DATA 	Keypress: t
52.2017 	DATA 	Keypress: t
54.4984 	DATA 	Keypress: t
56.7483 	DATA 	Keypress: t
59.0146 	DATA 	Keypress: t
61.2983 	DATA 	Keypress: t
63.5555 	DATA 	Keypress: t
65.8481 	DATA 	Keypress: t
68.0979 	DATA 	Keypress: t
70.3981 	DATA 	Keypress: t
72.6479 	DATA 	Keypress: t
74.9101 	DATA 	Keypress: t
77.1977 	DATA 	Keypress: t
79.4510 	DATA 	Keypress: t
81.7476 	DATA 	Keypress: t
83.9975 	DATA 	Keypress: t
86.2638 	DATA 	Keypress: t
88.5478 	DATA 	Keypress: t
90.8046 	DATA 	Keypress: t
93.0974 	DATA 	Keypress: t
95.3473 	DATA 	Keypress: t
97.6471 	DATA 	Keypress: t
99.8970 	DATA 	Keypress: t
102.1593 	DATA 	Keypress: t
104.4470 	DATA 	Keypress: t
106.7004 	DATA 	Keypress: t
108.9970 	DATA 	Keypress: t
111.2468 	DATA 	Keypress: t
113.5132 	DATA 	Keypress: t
115.7967 	DATA 	Keypress: t
118.0539 	DATA 	Keypress: t
120.3466 	DATA 	Keypress: t
122.5965 	DATA 	Keypress: t
124.8964 	DATA 	Keypress: t
127.1463 	DATA 	Keypress: t
129.4087 	DATA 	Keypress: t
131.6962 	DATA 	Keypress: t
133.9494 	DATA 	Keypress: t
136.2461 	DATA 	Keypress: t
138.4961 	DATA 	Keypress: t
140.7623 	DATA 	Keypress: t
143.0460 	DATA 	Keypress: t
145.3032 	DATA 	Keypress: t
147.5959 	DATA 	Keypress: t
149.8457 	DATA 	Keypress: t
152.1457 	DATA 	Keypress: t
154.3961 	DATA 	Keypress: t
156.6579 	DATA 	Keypress: t
158.9455 	DATA 	Keypress: t
161.1988 	DATA 	Keypress: t
163.4954 	DATA 	Keypress: t
165.7453 	DATA 	Keypress: t
168.0116 	DATA 	Keypress: t
170.2952 	DATA 	Keypress: t
172.5526 	DATA 	Keypress: t
174.8451 	DATA 	Keypress: t
177.0950 	DATA 	Keypress: t
179.3954 	DATA 	Keypress: t
181.6449 	DATA 	Keypress: t
183.9061 	DATA 	Keypress: t
186.1947 	DATA 	Keypress: t
188.4480 	DATA 	Keypress: t
190.7447 	DATA 	Keypress: t
192.9946 	DATA 	Keypress: t
195.2608 	DATA 	Keypress: t
197.5444 	DATA 	Keypress: t
199.8017 	DATA 	Keypress: t
202.0943 	DATA 	Keypress: t
204.3447 	DATA 	Keypress: t
206.6446 	DATA 	Keypress: t
208.8945 	DATA 	Keypress: t
211.1555 	DATA 	Keypress: t
213.4440 	DATA 	Keypress: t
215.6972 	DATA 	Keypress: t
217.9939 	DATA 	Keypress: t
220.2442 	DATA 	Keypress: t
222.5101 	DATA 	Keypress: t
224.7937 	DATA 	Keypress: t
227.0509 	DATA 	Keypress: t
229.3436 	DATA 	Keypress: t
231.5935 	DATA 	Keypress: t
233.8936 	DATA 	Keypress: t
236.1434 	DATA 	Keypress: t
238.4047 	DATA 	Keypress: t
240.6933 	DATA 	Keypress: t
242.9466 	DATA 	Keypress: t
245.2432 	DATA 	Keypress: t
247.4933 	DATA 	Keypress: t
249.7593 	DATA 	Keypress: t
