0.3463 	WARNING 	Movie2 stim could not be imported and won't be available
0.0254 	DATA 	INITIAL INSTRUCTIONS
46.9967 	DATA 	Keypress: t
47.0076 	WARNING 	t of last frame was 46982.17ms (=1/0)
59.7294 	DATA 	Keypress: t
2.2718 	DATA 	Keypress: t
2.2817 	WARNING 	t of last frame was 2271.01ms (=1/0)
4.5437 	DATA 	Keypress: t
4.5522 	WARNING 	t of last frame was 2270.50ms (=1/0)
6.8156 	DATA 	Keypress: t
6.8370 	WARNING 	t of last frame was 2284.85ms (=1/0)
9.0876 	DATA 	Keypress: t
9.1048 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
11.3605 	DATA 	Keypress: t
13.6325 	DATA 	Keypress: t
15.9043 	DATA 	Keypress: t
18.1763 	DATA 	Keypress: t
20.4483 	DATA 	Keypress: t
22.7202 	DATA 	Keypress: t
24.9922 	DATA 	Keypress: t
27.2641 	DATA 	Keypress: t
29.5360 	DATA 	Keypress: t
31.8080 	DATA 	Keypress: t
34.0799 	DATA 	Keypress: t
36.3519 	DATA 	Keypress: t
38.6238 	DATA 	Keypress: t
40.8958 	DATA 	Keypress: t
43.1677 	DATA 	Keypress: t
45.4396 	DATA 	Keypress: t
47.7116 	DATA 	Keypress: t
49.9836 	DATA 	Keypress: t
52.2554 	DATA 	Keypress: t
54.5274 	DATA 	Keypress: t
56.7994 	DATA 	Keypress: t
59.0713 	DATA 	Keypress: t
61.3432 	DATA 	Keypress: t
63.6151 	DATA 	Keypress: t
65.8870 	DATA 	Keypress: t
68.1590 	DATA 	Keypress: t
70.4310 	DATA 	Keypress: t
72.7029 	DATA 	Keypress: t
74.9748 	DATA 	Keypress: t
77.2468 	DATA 	Keypress: t
79.5187 	DATA 	Keypress: t
81.7906 	DATA 	Keypress: t
84.0626 	DATA 	Keypress: t
86.3345 	DATA 	Keypress: t
88.6074 	DATA 	Keypress: t
90.8796 	DATA 	Keypress: t
93.1514 	DATA 	Keypress: t
95.4233 	DATA 	Keypress: t
97.6952 	DATA 	Keypress: t
99.9672 	DATA 	Keypress: t
102.2390 	DATA 	Keypress: t
104.5111 	DATA 	Keypress: t
106.7830 	DATA 	Keypress: t
109.0550 	DATA 	Keypress: t
111.3268 	DATA 	Keypress: t
113.5988 	DATA 	Keypress: t
115.8708 	DATA 	Keypress: t
118.1427 	DATA 	Keypress: t
120.4147 	DATA 	Keypress: t
122.6865 	DATA 	Keypress: t
124.9584 	DATA 	Keypress: t
127.2303 	DATA 	Keypress: t
129.5023 	DATA 	Keypress: t
131.7742 	DATA 	Keypress: t
134.0461 	DATA 	Keypress: t
