0.4338 	WARNING 	Movie2 stim could not be imported and won't be available
0.0131 	DATA 	INITIAL INSTRUCTIONS
26.8701 	DATA 	Keypress: t
26.8739 	WARNING 	t of last frame was 26860.81ms (=1/0)
69.9682 	DATA 	Keypress: t
2.2594 	DATA 	Keypress: t
2.2743 	WARNING 	t of last frame was 2264.94ms (=1/0)
4.5497 	DATA 	Keypress: t
4.5591 	WARNING 	t of last frame was 2284.80ms (=1/0)
6.8033 	DATA 	Keypress: t
6.8116 	WARNING 	t of last frame was 2252.46ms (=1/0)
9.0995 	DATA 	Keypress: t
9.1043 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
11.3493 	DATA 	Keypress: t
13.6493 	DATA 	Keypress: t
15.8993 	DATA 	Keypress: t
18.1627 	DATA 	Keypress: t
20.4490 	DATA 	Keypress: t
22.7065 	DATA 	Keypress: t
24.9989 	DATA 	Keypress: t
27.2503 	DATA 	Keypress: t
29.5488 	DATA 	Keypress: t
31.7986 	DATA 	Keypress: t
34.0987 	DATA 	Keypress: t
36.3485 	DATA 	Keypress: t
38.6099 	DATA 	Keypress: t
40.8983 	DATA 	Keypress: t
43.1537 	DATA 	Keypress: t
45.4481 	DATA 	Keypress: t
47.6980 	DATA 	Keypress: t
49.9980 	DATA 	Keypress: t
52.2479 	DATA 	Keypress: t
54.5478 	DATA 	Keypress: t
56.7979 	DATA 	Keypress: t
59.0581 	DATA 	Keypress: t
61.3474 	DATA 	Keypress: t
63.6019 	DATA 	Keypress: t
65.8973 	DATA 	Keypress: t
68.1472 	DATA 	Keypress: t
70.4472 	DATA 	Keypress: t
72.6970 	DATA 	Keypress: t
74.9615 	DATA 	Keypress: t
77.2468 	DATA 	Keypress: t
79.5052 	DATA 	Keypress: t
81.7969 	DATA 	Keypress: t
84.0492 	DATA 	Keypress: t
86.3465 	DATA 	Keypress: t
88.5962 	DATA 	Keypress: t
90.8962 	DATA 	Keypress: t
93.1462 	DATA 	Keypress: t
95.4085 	DATA 	Keypress: t
97.6959 	DATA 	Keypress: t
99.9524 	DATA 	Keypress: t
102.2460 	DATA 	Keypress: t
104.4962 	DATA 	Keypress: t
106.7957 	DATA 	Keypress: t
109.0456 	DATA 	Keypress: t
111.3456 	DATA 	Keypress: t
113.5953 	DATA 	Keypress: t
115.8559 	DATA 	Keypress: t
118.1452 	DATA 	Keypress: t
120.3997 	DATA 	Keypress: t
122.6951 	DATA 	Keypress: t
124.9449 	DATA 	Keypress: t
127.2449 	DATA 	Keypress: t
129.4948 	DATA 	Keypress: t
131.7603 	DATA 	Keypress: t
134.0446 	DATA 	Keypress: t
136.3040 	DATA 	Keypress: t
138.5944 	DATA 	Keypress: t
140.8479 	DATA 	Keypress: t
143.1444 	DATA 	Keypress: t
145.3942 	DATA 	Keypress: t
147.6944 	DATA 	Keypress: t
149.9439 	DATA 	Keypress: t
152.2074 	DATA 	Keypress: t
154.4937 	DATA 	Keypress: t
156.7511 	DATA 	Keypress: t
159.0436 	DATA 	Keypress: t
161.2950 	DATA 	Keypress: t
163.5936 	DATA 	Keypress: t
165.8433 	DATA 	Keypress: t
168.1433 	DATA 	Keypress: t
170.3931 	DATA 	Keypress: t
172.6546 	DATA 	Keypress: t
174.9430 	DATA 	Keypress: t
177.1983 	DATA 	Keypress: t
179.4930 	DATA 	Keypress: t
181.7426 	DATA 	Keypress: t
184.0426 	DATA 	Keypress: t
186.2925 	DATA 	Keypress: t
188.5580 	DATA 	Keypress: t
190.8423 	DATA 	Keypress: t
193.1018 	DATA 	Keypress: t
195.3920 	DATA 	Keypress: t
197.6456 	DATA 	Keypress: t
199.9421 	DATA 	Keypress: t
202.1919 	DATA 	Keypress: t
204.4921 	DATA 	Keypress: t
206.7417 	DATA 	Keypress: t
209.0062 	DATA 	Keypress: t
211.2918 	DATA 	Keypress: t
213.5499 	DATA 	Keypress: t
215.8413 	DATA 	Keypress: t
218.0938 	DATA 	Keypress: t
220.3912 	DATA 	Keypress: t
222.6411 	DATA 	Keypress: t
224.9411 	DATA 	Keypress: t
227.1908 	DATA 	Keypress: t
229.4533 	DATA 	Keypress: t
231.7407 	DATA 	Keypress: t
233.9971 	DATA 	Keypress: t
236.2907 	DATA 	Keypress: t
238.5409 	DATA 	Keypress: t
240.8404 	DATA 	Keypress: t
243.0903 	DATA 	Keypress: t
245.3903 	DATA 	Keypress: t
247.6400 	DATA 	Keypress: t
249.9005 	DATA 	Keypress: t
252.1898 	DATA 	Keypress: t
254.4444 	DATA 	Keypress: t
256.7398 	DATA 	Keypress: t
258.9896 	DATA 	Keypress: t
261.2897 	DATA 	Keypress: t
263.5394 	DATA 	Keypress: t
265.8039 	DATA 	Keypress: t
268.0892 	DATA 	Keypress: t
270.3479 	DATA 	Keypress: t
272.6391 	DATA 	Keypress: t
274.8915 	DATA 	Keypress: t
277.1889 	DATA 	Keypress: t
279.4388 	DATA 	Keypress: t
281.7388 	DATA 	Keypress: t
283.9887 	DATA 	Keypress: t
286.2524 	DATA 	Keypress: t
288.5384 	DATA 	Keypress: t
290.7959 	DATA 	Keypress: t
293.0884 	DATA 	Keypress: t
295.3398 	DATA 	Keypress: t
297.6381 	DATA 	Keypress: t
299.8880 	DATA 	Keypress: t
302.1879 	DATA 	Keypress: t
304.4382 	DATA 	Keypress: t
306.6993 	DATA 	Keypress: t
308.9876 	DATA 	Keypress: t
311.2431 	DATA 	Keypress: t
313.5375 	DATA 	Keypress: t
315.7874 	DATA 	Keypress: t
318.0874 	DATA 	Keypress: t
320.3371 	DATA 	Keypress: t
322.6026 	DATA 	Keypress: t
324.8869 	DATA 	Keypress: t
327.1465 	DATA 	Keypress: t
329.4368 	DATA 	Keypress: t
331.6903 	DATA 	Keypress: t
333.9867 	DATA 	Keypress: t
336.2366 	DATA 	Keypress: t
338.5365 	DATA 	Keypress: t
340.7865 	DATA 	Keypress: t
343.0499 	DATA 	Keypress: t
345.3365 	DATA 	Keypress: t
347.5937 	DATA 	Keypress: t
349.8861 	DATA 	Keypress: t
352.1376 	DATA 	Keypress: t
354.4360 	DATA 	Keypress: t
356.6857 	DATA 	Keypress: t
358.9858 	DATA 	Keypress: t
361.2356 	DATA 	Keypress: t
363.4980 	DATA 	Keypress: t
365.7854 	DATA 	Keypress: t
368.0418 	DATA 	Keypress: t
370.3355 	DATA 	Keypress: t
372.5857 	DATA 	Keypress: t
374.8852 	DATA 	Keypress: t
377.1349 	DATA 	Keypress: t
379.4348 	DATA 	Keypress: t
381.6846 	DATA 	Keypress: t
383.9452 	DATA 	Keypress: t
386.2346 	DATA 	Keypress: t
388.4890 	DATA 	Keypress: t
390.7844 	DATA 	Keypress: t
393.0343 	DATA 	Keypress: t
395.3343 	DATA 	Keypress: t
397.5841 	DATA 	Keypress: t
399.8486 	DATA 	Keypress: t
402.1339 	DATA 	Keypress: t
404.3924 	DATA 	Keypress: t
406.6838 	DATA 	Keypress: t
408.9362 	DATA 	Keypress: t
411.2337 	DATA 	Keypress: t
413.4835 	DATA 	Keypress: t
415.7835 	DATA 	Keypress: t
418.0333 	DATA 	Keypress: t
420.2956 	DATA 	Keypress: t
422.5831 	DATA 	Keypress: t
424.8395 	DATA 	Keypress: t
427.1329 	DATA 	Keypress: t
429.3844 	DATA 	Keypress: t
431.6828 	DATA 	Keypress: t
433.9326 	DATA 	Keypress: t
436.2329 	DATA 	Keypress: t
438.4825 	DATA 	Keypress: t
440.7440 	DATA 	Keypress: t
443.0323 	DATA 	Keypress: t
445.2878 	DATA 	Keypress: t
447.5820 	DATA 	Keypress: t
449.8320 	DATA 	Keypress: t
452.1320 	DATA 	Keypress: t
454.3819 	DATA 	Keypress: t
456.6474 	DATA 	Keypress: t
458.9317 	DATA 	Keypress: t
461.1910 	DATA 	Keypress: t
463.4815 	DATA 	Keypress: t
465.7350 	DATA 	Keypress: t
